StartDate,EndDate,Title,RelatedEvents,Description,Footnotes,Image,ForMoreSee,Ref,Location,Influences,Empire,Tags
1798/12/29,1802,War of the Second Coalition,Second Coalition is formed,,,,,http://www.historyofwar.org/articles/wars_napoleonic.html,,,,
1799/02/05,,Napoleon invades Syria,,Modern Isreal/Palestine,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/03/01,,Russia declares war on France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/03/17,1799/05/20,Seige of Acre,Battle of Mount Tabor; Napoleons final assault on Acre repulsed,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/04/05,1799/08/15,Austrians and Russians retake Italy and Switzerland,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/04/16,,Battle of Mount Tabor,Seige of Acre,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/05/10,,Napoleons final assault on Acre repulsed,Seige of Acre,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/07/25,,Battle of Aboukir,Second Battle of Aboukir,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/08/22,,Napoleon leaves Egypt,,Evading British fleet sails for France,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/09/25,1799/09/30,Massena defeats Russians,,Near Zurich,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/10/09,,Napoleon lands in France,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/11/09,,Napoleom's coup of 18 Brumaire establishes the Consulate,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1799/11/10,,Napoleon becomes First Consul,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/03/20,,Battle of Helipolis,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/04/18,,Messena besieged in Genoa,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/05/03,,Battle of Stockach,,Moreau Victor,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
1800/05/15,1800/05/21,Army of Reserve crosses the Alps,,,,,,http://www.napoleonsims.com/timeline/timeline.htm,,,,
